"Kecamatan" "Kabupaten" "Provinsi" "Region" "WARNING"
"JONGGOL" "KAB. BOGOR" "JAWA BARAT" "JAWA" "No Warning"
"JUNTIYUAT" "KAB. INDRAMAYU" "JAWA BARAT" "JAWA" "233.2"
"KABANDUNGAN" "KAB. SUKABUMI" "JAWA BARAT" "JAWA" "No Warning"
"KADIPATEN" "KAB. MAJALENGKA" "JAWA BARAT" "JAWA" "236.2"
"KADIPATEN" "KAB. TASIKMALAYA" "JAWA BARAT" "JAWA" "No Warning"
"KADUDAMPIT" "KAB. SUKABUMI" "JAWA BARAT" "JAWA" "No Warning"
"KADUGEDE" "KAB. KUNINGAN" "JAWA BARAT" "JAWA" "239.4 Naik 28.6"
"KADUNGORA" "KAB. GARUT" "JAWA BARAT" "JAWA" "No Warning"
"KADUPANDAK" "KAB. CIANJUR" "JAWA BARAT" "JAWA" "No Warning"
"KALAPANUNGGAL" "KAB. SUKABUMI" "JAWA BARAT" "JAWA" "No Warning"
"KALIBUNDER" "KAB. SUKABUMI" "JAWA BARAT" "JAWA" "No Warning"
"KALIJATI" "KAB. SUBANG" "JAWA BARAT" "JAWA" "No Warning"
"KALIMANGGIS" "KAB. KUNINGAN" "JAWA BARAT" "JAWA" "236.2 Naik 0"
"KALIPUCANG" "KAB. PANGANDARAN" "JAWA BARAT" "JAWA" "234.4 Naik 0"
"KALIWEDI" "KAB. CIREBON" "JAWA BARAT" "JAWA" "233"
"KANDANGHAUR" "KAB. INDRAMAYU" "JAWA BARAT" "JAWA" "235.3"
"KAPETAKAN" "KAB. CIREBON" "JAWA BARAT" "JAWA" "230.1"
"KARANG BAHAGIA" "KAB. BEKASI" "JAWA BARAT" "JAWA" "No Warning"
"KARANG NUNGGAL" "KAB. TASIKMALAYA" "JAWA BARAT" "JAWA" "No Warning"
"KARANG TENGAH" "KAB. CIANJUR" "JAWA BARAT" "JAWA" "No Warning"
"KARANGAMPEL" "KAB. INDRAMAYU" "JAWA BARAT" "JAWA" "232.3"
"KARANGJAYA" "KAB. TASIKMALAYA" "JAWA BARAT" "JAWA" "No Warning"
"KARANGPAWITAN" "KAB. GARUT" "JAWA BARAT" "JAWA" "No Warning"
"KARANGSEMBUNG" "KAB. CIREBON" "JAWA BARAT" "JAWA" "231.4 Naik 0"
"KARANGTENGAH" "KAB. GARUT" "JAWA BARAT" "JAWA" "No Warning"
"KARANGWARENG" "KAB. CIREBON" "JAWA BARAT" "JAWA" "231.5 Naik 0"
