1;2;3;4;5;6;7;;;;8;;9;;
sort;longitude;latitude;area;radius minimum;radius maximum;length;elongation;eccentricityboundingbox;solidity;eccentricity eigen;calliper;rectangularity;circularityharalick;convexity
108;124,37 ;-3,61 ;0,01 ;0,95 ;2,92 ;0,09 ;0,16 ;0,84 ;1,00 ;0,53 ;0,11 ;0,77 ;4,980092035;0,779627948
109;125,89 ;-3,60 ;0,02 ;1,62 ;5,42 ;0,21 ;0,29 ;0,71 ;1,00 ;0,32 ;0,21 ;0,72 ;9,640717255;0,842326487
110;148,83 ;-3,43 ;0,01 ;1,35 ;3,67 ;0,12 ;-0,11 ;1,11 ;1,00 ;0,71 ;0,13 ;0,69 ;4,196742761;0,856589273
111;92,45 ;-2,94 ;0,06 ;1,20 ;10,59 ;0,37 ;0,41 ;0,59 ;1,00 ;0,23 ;0,38 ;0,73 ;6,803448181;0,954465584
112;92,19 ;-2,93 ;0,00 ;1,02 ;3,43 ;0,12 ;0,47 ;0,53 ;1,00 ;0,21 ;0,12 ;0,62 ;3,443477708;0,866171197
113;92,13 ;-2,66 ;0,04 ;0,18 ;7,76 ;0,28 ;0,29 ;0,71 ;1,00 ;0,36 ;0,28 ;0,67 ;3,168009368;0,774709151
114;117,78 ;-2,49 ;0,09 ;0,57 ;13,20 ;0,51 ;0,57 ;0,43 ;1,00 ;0,11 ;0,52 ;0,80 ;5,165743081;0,774134661
115;144,71 ;-1,76 ;0,07 ;4,98 ;9,48 ;0,36 ;0,27 ;0,73 ;1,00 ;0,42 ;0,37 ;0,77 ;5,716958076;0,919966541
116;148,41 ;-1,64 ;0,01 ;2,40 ;3,54 ;0,13 ;-0,08 ;1,08 ;1,00 ;0,80 ;0,14 ;0,56 ;2,984402108;0,793957295
117;114,58 ;-1,50 ;0,10 ;4,42 ;14,93 ;0,50 ;0,24 ;0,76 ;1,00 ;0,69 ;0,53 ;0,54 ;2,558705493;0,896893097
118;144,38 ;-1,29 ;0,28 ;6,76 ;17,89 ;0,68 ;0,21 ;0,79 ;1,00 ;0,65 ;0,70 ;0,74 ;7,718814504;0,871428896
119;114,06 ;-1,15 ;0,48 ;11,05 ;22,90 ;0,89 ;0,15 ;0,85 ;1,00 ;0,63 ;0,91 ;0,71 ;5,307592691;0,866847825
120;142,07 ;-1,21 ;0,02 ;1,31 ;5,04 ;0,19 ;0,28 ;0,72 ;1,00 ;0,46 ;0,20 ;0,69 ;6,380106947;0,810857328
121;144,32 ;-0,69 ;0,04 ;1,94 ;10,20 ;0,40 ;0,67 ;0,33 ;1,00 ;0,11 ;0,40 ;0,71 ;2,227249177;0,919374705
122;139,62 ;-0,13 ;0,40 ;2,70 ;28,16 ;1,02 ;0,43 ;0,57 ;1,00 ;0,31 ;1,02 ;0,67 ;4,332745672;0,843141689
123;140,20 ;-0,36 ;0,00 ;0,89 ;2,70 ;0,10 ;0,38 ;0,62 ;1,00 ;0,33 ;0,10 ;0,69 ;3,936624619;0,922441266
124;108,18 ;0,08 ;0,00 ;0,69 ;2,38 ;0,08 ;0,22 ;0,78 ;1,00 ;0,43 ;0,08 ;0,67 ;4,214387807;0,830119146
125;106,94 ;0,53 ;0,02 ;2,42 ;6,09 ;0,22 ;0,39 ;0,61 ;1,00 ;0,40 ;0,22 ;0,76 ;4,357282478;0,893558265
126;140,00 ;0,67 ;0,04 ;4,01 ;7,78 ;0,30 ;0,46 ;0,54 ;1,00 ;0,21 ;0,30 ;0,83 ;5,288410364;0,948023556
127;107,47 ;0,76 ;0,01 ;1,61 ;4,31 ;0,17 ;0,41 ;0,59 ;1,00 ;0,35 ;0,17 ;0,63 ;4,681671883;0,75994666
128;107,07 ;0,88 ;0,04 ;2,23 ;8,18 ;0,32 ;0,44 ;0,56 ;1,00 ;0,18 ;0,32 ;0,64 ;4,651600824;0,794398211
129;139,00 ;0,92 ;0,01 ;1,38 ;4,16 ;0,16 ;0,47 ;0,53 ;1,00 ;0,26 ;0,16 ;0,69 ;2,53784155;0,771666411
130;138,08 ;0,99 ;0,00 ;0,81 ;2,25 ;0,08 ;0,41 ;0,59 ;1,00 ;0,31 ;0,08 ;0,70 ;3,552035137;0,790077477
131;110,20 ;1,07 ;0,01 ;1,28 ;4,55 ;0,18 ;0,58 ;0,42 ;1,00 ;0,17 ;0,18 ;0,74 ;3,114906437;0,827027046
132;139,47 ;1,15 ;0,00 ;1,35 ;2,25 ;0,08 ;0,22 ;0,78 ;1,00 ;0,69 ;0,08 ;0,71 ;4,871601972;0,909673614
133;118,88 ;1,20 ;0,02 ;2,13 ;4,84 ;0,18 ;0,24 ;0,76 ;1,00 ;0,57 ;0,18 ;0,68 ;4,051145144;0,873643897
134;138,85 ;1,33 ;0,11 ;4,95 ;13,20 ;0,53 ;0,40 ;0,60 ;1,00 ;0,28 ;0,53 ;0,64 ;4,474983227;0,769825795
